,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
UgzM6LZGRB-cPoZTZBR4AaABAg,WILLMEARIVER,3 weeks ago,1511739742750,"A movie star is gay, whoda thought.",3,false,0,,,,,,,/Negative/,Negative,0.934
UgyQs5pANwhlnj96Q0J4AaABAg,baddogonline,3 weeks ago,1511739742753,"We are all sexual beings.  Some of these allegations are just people trying to hook up, and that shouldn't be labeled as criminal.",1,true,1,,,,,,,/Negative/,Negative,0.959
,,,,,,,,UgyQs5pANwhlnj96Q0J4AaABAg.8_QqHWISqzU8_qSs4cOzWw,Missy Rose,1 week ago,1512949343142,"baddogonline It's crossing a line though if 1: The person the comments are made to are underage.
2: Anyone is touched AT ALL without their consent.
3. If sexual comments are made to employees or framed as being conditional on getting/keeping a job. Using your power over someone to coerce them into sleeping with you is absolutely sexually harrasment at the least.
4. If someone has made it known your comments are causing them to feel uncomfortable or threatened, and you continue to make them. 
I've always been a fan of John Travolta, I  absolutely LOVE Grease, but I can't defend this kind of behavior, if it's true. I would like to believe it isn't, but none of us will ever know for sure.",0,/Positive/,Positive,0.523
UgyrpMhyY_D6-jVmR1R4AaABAg,Roger Plessen,3 weeks ago,1511739742757,Get a life!,0,false,0,,,,,,,/Positive/,Positive,0.973
UgyDcvjqq_93edW0zWx4AaABAg,necoates77,3 weeks ago,1511739742776,"He was just trying to release some thetans, give the guy a break.",1,false,0,,,,,,,/Neutral/,Neutral,0.842
Ugggu6WyGRT8IngCoAEC,Anthony Plaza,3 weeks ago,1511739743902,Whoah... Whos next? Jordan Sheriton?,0,false,0,,,,,,,/Neutral/,Neutral,0.736
Ugx6tCq1z42IH1AsTON4AaABAg,Tonejack,3 weeks ago,1511739743905,Hollyweird!  Just a matter of time.,0,false,0,,,,,,,/Positive/,Positive,0.957
UgyILKsQjJ1iH00Aha54AaABAg,GrumpyCat,3 weeks ago,1511739743908,"as a licensed certified massage therapist... I can tell you no legit therapist I know wants to be called masseuse. the industry has been trying to distance itself from that term for many years due to its association with the sex industry. also, in massage school, you are trained to end the session immediately when anything inappropriate occurs. I don't understand why this therapist didn't end the session sooner.",3,true,1,,,,,,,/Negative/,Negative,0.732
,,,,,,,,UgyILKsQjJ1iH00Aha54AaABAg.8_PbtImmmq48_qTB_fXxzy,Missy Rose,1 week ago,1512949344370,"GrumpyCat I'm guessing he either needed the money, or he was excited about working for an actor, or he's just one of those really shy people who isn't sure how to react in an uncomfortable situation and it just took him a bit to get his nerves under enough control to end it.",1,/Negative/,Negative,0.807
Ugya-m4hhOiul1HZMeZ4AaABAg,Ero Jasper,3 weeks ago,1511739743912,"I find this to be a distraction from some of the more serious news and problems. Like for instance, the FCC and Net Neutrality vote coming up soon. This seemed to pop up when some shit was going down with Donald as well. It's kind of suspicious. I could be completely wrong though.",1,true,2,,,,,,,/Negative/,Negative,0.807
,,,,,,,,Ugya-m4hhOiul1HZMeZ4AaABAg.8_PQg6TEy128_Po6_3SOhB,MexiDan,3 weeks ago,1511739744388,"Nah, looks more like a tinfoil hat. A lot of these things have been coming up lately.",0,/Negative/,Negative,0.879
,,,,,,,,Ugya-m4hhOiul1HZMeZ4AaABAg.8_PQg6TEy128_Xd12riyrc,Christopher Nichols,2 weeks ago,1512344544391,Hey are the young turds liberals?? Huh do they really have 3 m subs,0,/Negative/,Negative,0.553
Ugy8E3kaGa5FYAZxA4p4AaABAg,L S,3 weeks ago,1511739743916,"Who cares,",2,true,1,,,,,,,/Negative/,Negative,0.898
,,,,,,,,Ugy8E3kaGa5FYAZxA4p4AaABAg.8_POo9ahfTX8_X0WDbzDwh,The Ghost Dog,2 weeks ago,1512344544424,L S this changes everything.,0,/Negative/,Negative,0.99
UgxbuktUxJf200JoVJh4AaABAg,Mike Anderson,3 weeks ago,1511739743920,tell me do u like men  yes,1,false,0,,,,,,,/Neutral/,Neutral,0.84
UgxZGPGD_Z1zgS3IAp94AaABAg,Russ G,3 weeks ago,1511739743923,"Gee, you Young Turds are liberals.  Gay behavior is supposed to be OK with you Libtards.  So what's your issue with this?  The guy's been a known perv for decades and franky I'm shocked at your phony expression of outrage.  The masseur should have told him to get his naked ass dressed and out of there; that those services didn't come wih the price of a massage.  You say he went in the sauna with Travolta.  He was over 18.  His mistake.  Maybe he figured he'd get a big tip.  I don't know how big Mr. Travolta's tip is!",3,true,1,,,,,,,/Negative/,Negative,0.98
,,,,,,,,UgxZGPGD_Z1zgS3IAp94AaABAg.8_OStJSmmRE8_X0TsW6O-c,The Ghost Dog,2 weeks ago,1512344544350,Russ G you're a fuckin idiot.,1,/Negative/,Negative,0.996
Ugytg7GJN_uQMdd--fV4AaABAg,Thomas K Geydan,3 weeks ago,1511739743931,"A man who gives massages is called ""masseur"". You ought to know that!",1,true,3,,,,,,,/Positive/,Positive,0.984
,,,,,,,,Ugytg7GJN_uQMdd--fV4AaABAg.8_NNU1oPHCU8_OT-5zN1Tl,Russ G,3 weeks ago,1511739744523,"Yeah, and another commonly applied term is ""fudge packer!'",0,/Negative/,Negative,0.98
,,,,,,,,Ugytg7GJN_uQMdd--fV4AaABAg.8_NNU1oPHCU8_OW9eSm3DA,Tom Underwood,3 weeks ago,1511739744528,haha!,0,/Positive/,Positive,0.99
,,,,,,,,Ugytg7GJN_uQMdd--fV4AaABAg.8_NNU1oPHCU8_Pc-hbnp4e,GrumpyCat,3 weeks ago,1511739744533,no massage therapist wants to be called that,0,/Negative/,Negative,0.967
UgxHOI7U7o1uEPte5PN4AaABAg,buireolbg,3 weeks ago,1511739743935,A male masseuse. Wow!,0,true,2,,,,,,,/Negative/,Negative,0.949
,,,,,,,,UgxHOI7U7o1uEPte5PN4AaABAg.8_N4vISDswe8_OT8mAqvUI,Russ G,3 weeks ago,1511739744504,"Just another example of Libturds' illiteracy.  They're all fine products of our public education system, run by a monopolistic, state-enabled union.",0,/Negative/,Negative,0.668
,,,,,,,,UgxHOI7U7o1uEPte5PN4AaABAg.8_N4vISDswe8_Pc4qpcDDk,GrumpyCat,3 weeks ago,1511739744509,I went to massage school. Some of the best therapists were male. But they face discrimination that female therapists don't.,0,/Positive/,Positive,0.725
UgzNA0YuRz5h3UIoObp4AaABAg,Todd Woofenden,3 weeks ago,1511739743939,TYT ARE LOSERS/ leave Travolta alone,1,true,2,,,,,,,/Positive/,Positive,0.93
,,,,,,,,UgzNA0YuRz5h3UIoObp4AaABAg.8_MxsAIkIjG8_N-s7k_yNt,R. McBride,3 weeks ago,1511739744436,"@Todd Sorry, Todd, but it's been an open secret for years that Travolta switch hits. Even his wife knows.",0,/Negative/,Negative,0.539
,,,,,,,,UgzNA0YuRz5h3UIoObp4AaABAg.8_MxsAIkIjG8_N5CTRGsPo,BillPrestin Esquire,3 weeks ago,1511739744439,oh Sandy,0,/Negative/,Negative,0.998
UgxscFTK2dSDjFTSC_l4AaABAg,Conan 1812,3 weeks ago,1511739743944,Travolta is a Scientology scumbag closet queer bastard who killed his own son. Check the press,3,true,6,,,,,,,/Positive/,Positive,0.918
,,,,,,,,UgxscFTK2dSDjFTSC_l4AaABAg.8_LcH9CGF388_NXCvG1SyP,iringa77,3 weeks ago,1511739744463,What proof do you've that he killed his son?,0,/Negative/,Negative,0.99
,,,,,,,,UgxscFTK2dSDjFTSC_l4AaABAg.8_LcH9CGF388_NlJzmwaMZ,Egerton _G,3 weeks ago,1511739744469,Conan 1812 wow. That’s low.,2,/Negative/,Negative,0.924
,,,,,,,,UgxscFTK2dSDjFTSC_l4AaABAg.8_LcH9CGF388_Nsq9FHt6J,Conan 1812,3 weeks ago,1511739744475,iringa77 do you not read the news. He refused him medical help,0,/Negative/,Negative,0.998
,,,,,,,,UgxscFTK2dSDjFTSC_l4AaABAg.8_LcH9CGF388_SyH2huX3V,Fat Cat,2 weeks ago,1512344544480,He actually is as vocal as u can be about Scientology and that killing his son comment adds to how stupid u are.  Seriously u are dumb .,1,/Negative/,Negative,0.559
,,,,,,,,UgxscFTK2dSDjFTSC_l4AaABAg.8_LcH9CGF388_SybbacKGS,Conan 1812,2 weeks ago,1512344544485,Fat Cat you are the idiot ballbag and an apologist for this prick. Go suck his dick snowflake,0,/Negative/,Negative,0.98
,,,,,,,,UgxscFTK2dSDjFTSC_l4AaABAg.8_LcH9CGF388_T-4aeP3BL,Fat Cat,2 weeks ago,1512344544491,"Conan 1812 I couldn't give a shit about him way one way or the other . your the one mentioning "" queers "" "" ball bags "" and "" sucking dick"" sounds like u got more dick on the brain then he does. I hope u get the courage to come to terms with ur own homosexuality hahah. Have a great day!",1,/Positive/,Positive,0.631
Ugz6bTw0YKJecCASOG14AaABAg,CryinFester,3 weeks ago,1511739743980,This is one of the benefits of sexual repression; people don't just assume that it's OK to ask strangers if they have ever had their assholes licked. This is why religion preaches sexual control. Sex monkeys just can't handle casual sex without misbehaving.,2,true,1,,,,,,,/Negative/,Negative,0.955
,,,,,,,,Ugz6bTw0YKJecCASOG14AaABAg.8_Lb2I51px_8_LwdNgeoa9,Bananarista 1.0,3 weeks ago,1511739744361,"Yes, you nailed it! So awkward. I always have to ask myself what is so difficult about behaving appropriatley and keeping sexual stuff out of professional business.",0,/Positive/,Positive,0.898
Ugy-EfGpY25NhmqaLtZ4AaABAg,CryinFester,3 weeks ago,1511739743986,"But but but Howie Carr said he was straight. Howie is an expert at this sort of thing, for some reason.",0,false,0,,,,,,,/Positive/,Positive,0.438
UgyYripM90aBRVjF1wF4AaABAg,Bruce Lee Roy,3 weeks ago,1511739743990,Development of an atheistic society.,0,true,2,,,,,,,/Negative/,Negative,0.557
,,,,,,,,UgyYripM90aBRVjF1wF4AaABAg.8_L8iEQM06P8_LNDLu4qPE,Shei A,3 weeks ago,1511739744403,W'allah you are right brother! We need to kill these atheists.,0,/Positive/,Positive,0.863
,,,,,,,,UgyYripM90aBRVjF1wF4AaABAg.8_L8iEQM06P8_LNFnviFxP,Shei A,3 weeks ago,1511739744407,' Asshole licking ' does excite me a little however.,0,/Positive/,Positive,0.988
UgwQT7rrLbc00XtqL7t4AaABAg,Steve Holt,3 weeks ago,1511739743995,"Every celebrity has committed sexual harassment or abuse atleast once but more like hundred of times. Especially female celebrities,knowing their male victim won't view it as a crime. It's understandable though,they feel because they are so much richer,they have more leeway to what they can do.. While still wrong,it's understandable. we,the average people,have put the actors,singers,producers,business ceos and politicians up on pedestals of imaginary power to do whatever they want..",1,false,0,,,,,,,/Negative/,Negative,0.926
Ugw6yM7LfqsbpqteTnF4AaABAg,Marcelline Choisne,3 weeks ago,1511739744008,"then,in one word or in thousand,you are rich? you can...",0,false,0,,,,,,,/Negative/,Negative,0.863
UgzMdiciBL-r_Dalhk14AaABAg,Island Hopper,3 weeks ago,1511739744017,I hope Tom Cruise sues the shit out of you Cenk! How dare you slander people!,1,true,1,,,,,,,/Negative/,Negative,0.922
,,,,,,,,UgzMdiciBL-r_Dalhk14AaABAg.8_KX489HfAy8_MzqI7oAds,Xn Tyler,3 weeks ago,1511739744414,Island Hopper cruise does guys,0,/Neutral/,Neutral,0.863
Ugz_nAwPT4zqvZLyk-B4AaABAg,Dennis Menace,3 weeks ago,1511739744026,"Cenk is not young or Turkish 'fake news' and before I get crucified I think trump has the IQ of a carrot and anyone genuinely still believing his sad, not really thought it through constant lies has an IQ even less",1,false,0,,,,,,,/Negative/,Negative,0.982
UgyX_TnIhhmsywlaBNZ4AaABAg,Mario,3 weeks ago,1511739744031,Cenk is retarded and Ana is there like he is being so deep and articulated...,1,false,0,,,,,,,/Positive/,Positive,0.895
UgwAbW9xlq8M4zZbXjh4AaABAg,Otto Nomicus,3 weeks ago,1511739744036,All he had to do was let John lick his ass and it would have been an easy $100 tip.,4,false,0,,,,,,,/Negative/,Negative,0.934
UgwVS_Zlyd_MpQLkeOF4AaABAg,Tonto Mac,3 weeks ago,1511739746430,Ana and Cenk what a joke you guys are. Crap news stories again . Your show sucks !,1,false,0,,,,,,,/Negative/,Negative,0.994
UgwXBkhaWJcnKvNiRoB4AaABAg,Joe Dirt,3 weeks ago,1511739746436,John travolta is completely heterosexual,0,true,3,,,,,,,/Negative/,Negative,0.998
,,,,,,,,UgwXBkhaWJcnKvNiRoB4AaABAg.8_I3wquj2Rv8_MLt8mlZbd,Sintelle,3 weeks ago,1511739746906,Joe Dirt Just like Elton John.,0,/Neutral/,Neutral,0.928
,,,,,,,,UgwXBkhaWJcnKvNiRoB4AaABAg.8_I3wquj2Rv8_N5N3E0NgN,BillPrestin Esquire,3 weeks ago,1511739746908,except when he sucks wankers,0,/Negative/,Negative,1
,,,,,,,,UgwXBkhaWJcnKvNiRoB4AaABAg.8_I3wquj2Rv8_S0TRzAB03,Roger Gaudet,3 weeks ago,1511739746911,😂😂😂😉right. Straight,0,/Positive/,Positive,0.549
UgyCGrAPGr5fvBdDYyl4AaABAg,Michael Hill,3 weeks ago,1511739746440,Cenk Uygur The Old Turd of The Young Turks.,1,false,0,,,,,,,/Positive/,Positive,0.617
UgxBDGkQUpHPrHOrfjZ4AaABAg,BlazingShade,3 weeks ago,1511739746444,So many celebrities raping and groping people. What the fuck is wrong with these freaks?,6,true,3,,,,,,,/Negative/,Negative,0.994
,,,,,,,,UgxBDGkQUpHPrHOrfjZ4AaABAg.8_HJ11dfR7s8_JibjZ87_T,hotties3v3n,3 weeks ago,1511739746966,That how they worship Satan in Hollywood.,0,/Positive/,Positive,0.691
,,,,,,,,UgxBDGkQUpHPrHOrfjZ4AaABAg.8_HJ11dfR7s8_Kpn5X1Y62,Marcelline Choisne,3 weeks ago,1511739746969,"holy trump say""when youre rich,you can do what you want..""",1,/Positive/,Positive,0.723
,,,,,,,,UgxBDGkQUpHPrHOrfjZ4AaABAg.8_HJ11dfR7s8_N5Yw-jIG4,BillPrestin Esquire,3 weeks ago,1511739746971,"nothing has changed it is the PC bullshit , people need to toughen up and take your groping s like a man",0,/Negative/,Negative,0.959
UgwY29qXO3Ee1v-bo714AaABAg,elan really,3 weeks ago,1511739746450,"This shit is OLD, ANCIENT NEWS.",7,true,1,,,,,,,/Negative/,Negative,0.998
,,,,,,,,UgwY29qXO3Ee1v-bo714AaABAg.8_GHrNSyPiG8_JiduyuYyp,hotties3v3n,3 weeks ago,1511739747013,How so?,0,/Neutral/,Neutral,0.992
UgwlpIDa7VVEwF2UcRl4AaABAg,Kim Jung Trump,3 weeks ago,1511739746455,Scientology is a right wing homophobic cult. Go figure,3,true,4,,,,,,,/Positive/,Positive,0.994
,,,,,,,,UgwlpIDa7VVEwF2UcRl4AaABAg.8_Fa01eSQmT8_JVvKX1cD6,John D,3 weeks ago,1511739746943,Scientology is a satanic cult. It is the enemy of ordinary right wingers,2,/Positive/,Positive,0.971
,,,,,,,,UgwlpIDa7VVEwF2UcRl4AaABAg.8_Fa01eSQmT8_Jf6YcpmZ6,KabbalahSherry,3 weeks ago,1511739746945,"John D - Yeah, sure, it's their enemy. 😒 lol",0,/Neutral/,Neutral,0.785
,,,,,,,,UgwlpIDa7VVEwF2UcRl4AaABAg.8_Fa01eSQmT8_P-QZ99shs,Kim Jung Trump,3 weeks ago,1511739746948,"John D as usual a right winger w cognitive dissonance, you are talking out of your ass. Do some research and you will find out that what I am saying is 100% true. It's a fact Scientology is almost exclusively on the right wing side and vote Republican. I know you must be deeply hurt but if you want to be a right wing moron at least accept reality. You are indeed in the same voting block w Scientology. They are way worse than scumbag hypocritical Evangelicals I wasn't at all surprised when I learned this but it's 100% true BOY",0,/Negative/,Negative,0.852
,,,,,,,,UgwlpIDa7VVEwF2UcRl4AaABAg.8_Fa01eSQmT8_P03_7PCEO,Kim Jung Trump,3 weeks ago,1511739746950,"John D btw is ignorance really bliss? I always wondered. Since I make it a point to avoid stupid people as much as is possible now I never had a chance to ask. Just curious how it feels to have an empty mind w no original thought and then fill it up w faux news and am talk radio host thoughts instead. Oh I forgot I guess you get a bulletin every Sunday about which groups you're supposed to hate next. What's it like John. Go ask Pastor Jim Bob what to say, write it down if you know how and get back to me",0,/Negative/,Negative,0.908
Ugxo7jePk8Os_5iw6tZ4AaABAg,Double D,3 weeks ago,1511739746460,Does anyone else find it odd that TYT and Liberals Support Hillary and Democrats but at the same time when all these Liberal Democrats get blasted all over the world about Rape and Child molestation and so on they instantly jump ship... Hillary and Hollywood Liberals... all in the same... my question is do they all still support Hillary or did they finally see the light and realize now why exactly people elected an idiot?  it was the clear safest choice... lol,1,true,2,,,,,,,/Positive/,Positive,0.537
,,,,,,,,Ugxo7jePk8Os_5iw6tZ4AaABAg.8_FWea67EiU8_FdvLWfbMI,Pierre Martin,3 weeks ago,1511739747024,"Liberals supported Bernie Sanders ( who won but was robbed by the Dem, party who supported Killary Clinton he had to join as he was an independent senator). Sander's as a Democrat was leaning way left as a Social progressive, Clinton was basically told by the Democratic party she was their candidate, the Clinton campaign took more than 90% of all donation sent to Dems. Sanders got roughly 3% for his campaign in the primaries..... much more corruption and collusion happened within the Dem party to steal the primaries, so many ""liberals"" saw this and either did not vote in the Election, or wrote Sanders name in, or perhaps voted for Trump knowing just how dangerous Clintons are. It was a long campaign giving most people time to see the DISGUSTING Killary Clinton camp.",2,/Negative/,Negative,0.449
,,,,,,,,Ugxo7jePk8Os_5iw6tZ4AaABAg.8_FWea67EiU8_N-9LKnq9I,Xn Tyler,3 weeks ago,1511739747027,I would answer if this was more coherent,0,/Negative/,Negative,0.998
Ugzs0i2G5-r_HdC5KUZ4AaABAg,dave parga,3 weeks ago,1511739746466,MASSEUR not masseuse.,7,true,1,,,,,,,/Negative/,Negative,1
,,,,,,,,Ugzs0i2G5-r_HdC5KUZ4AaABAg.8_FSCf5z3Cg8_KUac9XZmq,Zina Vasiluk,3 weeks ago,1511739746956,"Then again, who cares about correct forms when Ana speaks French-ish.",0,/Negative/,Negative,0.715
Ugy2y4OycDC56YjuaJ54AaABAg,dave parga,3 weeks ago,1511739746473,who doesn't gay fantasies.?,1,false,0,,,,,,,/Negative/,Negative,1
UgzLwy7auNBaO8Vzth94AaABAg,tony montana,3 weeks ago,1511739746477,But the biggest of them all is TRUMP how come he is not exposed?,1,true,1,,,,,,,/Negative/,Negative,0.816
,,,,,,,,UgzLwy7auNBaO8Vzth94AaABAg.8_FPYn6pxJ48_FS1kHIyJK,dave parga,3 weeks ago,1511739746890,lets expose him.,1,/Positive/,Positive,0.996
Ugx88b8rYZSsusg8tAh4AaABAg,FrakU2,3 weeks ago,1511739746506,Back in 1999 my TKD instructor told me that John Travolta made a pass at him. 2 years earlier a coworker said Linda Hamilton tried to sleep with her.,1,false,0,,,,,,,/Negative/,Negative,0.752
UgxhyS3Btb7XfHpQB814AaABAg,TheRetiredtrucker,3 weeks ago,1511739746510,More and more Leftist Liberals getting exposed......,3,true,4,,,,,,,/Negative/,Negative,0.947
,,,,,,,,UgxhyS3Btb7XfHpQB814AaABAg.8_F-804g9UX8_FG0FNxChj,FrakU2,3 weeks ago,1511739746984,Stop doing that! This is not a political issue.,1,/Negative/,Negative,0.953
,,,,,,,,UgxhyS3Btb7XfHpQB814AaABAg.8_F-804g9UX8_F_qyAEfXv,Kim Jung Trump,3 weeks ago,1511739746987,TheRetiredtrucker uhhh I believe he is a Scientologist. If you knew what the hell you were talking about you would know 90 + % are right wing. That's a fact. So as usual a closet case right wing and Scientology is a homophobic cult go figure,1,/Positive/,Positive,0.756
,,,,,,,,UgxhyS3Btb7XfHpQB814AaABAg.8_F-804g9UX8_KPlDu0C6w,Dennis Menace,3 weeks ago,1511739746989,"there are pedos on all sides once you get to power and money, sad but true",0,/Positive/,Positive,0.645
,,,,,,,,UgxhyS3Btb7XfHpQB814AaABAg.8_F-804g9UX8_KRWq8jFiZ,TheRetiredtrucker,3 weeks ago,1511739746992,"He is a Scientologist, and no they are not Right Wing, they are a huge percentage of the Hollywood Elite, he has also supported the Clintons for several years, all of his friends are Democrats

So were you simply incorrect or did you attempt to lie?",2,/Negative/,Negative,0.873
UgzklmQ7ZHeZ8bbVpMR4AaABAg,KTube5000,3 weeks ago,1511739746514,"Consider this:  If someone flipped out and made a false accusation wouldn't it come out now?  Why was the man in a towel?  Why did he agree to go into a steam room?  If I propositioned someone in a towel, and they followed me, and then they called rape, there's a problem with the story..it could be, but he followed an invitation for sex.  That seems clear from the police story as told.  I can see why charges were not laid.  Also, one or two copy-cat civil attempts would be likely if the 'offended' had a large circle of friends.  Just hold your powder on this.  I'm not Travolta fan but this smells bad.  And yes, who cares if he's gay or likes rimming.  Big deal!  I'm not sure this was even discourteous behaviour.  I'd need to be convinced.  I don't know how gays talk to each other, it would be normal for some male-female conversations.",0,false,0,,,,,,,/Negative/,Negative,0.973
Ugy45laB0NoB82PJaVN4AaABAg,David Copperfield-not the magician,3 weeks ago,1511739746517,"Travolta isn't gay...he is a predator. I knew this one was coming.  Travolta preys on male masseus. They are just trying to do their job NOT be molested by Travolta. If he was 'gay', he would get a boyfriend and not sexually assault masseus. He is well known as a molester/rapist among the male masseus. Masseus are his private stash of prostitutes.  Power again. What's up with his wife? These wives who cover for and support this garbage make me sick. She knows.",1,true,2,,,,,,,/Negative/,Negative,0.928
,,,,,,,,Ugy45laB0NoB82PJaVN4AaABAg.8_EVqJfHfTh8_FR4SL4Gpx,M T,3 weeks ago,1511739747034,"Dude, he is gay.",3,/Negative/,Negative,0.973
,,,,,,,,Ugy45laB0NoB82PJaVN4AaABAg.8_EVqJfHfTh8_GVmedxhjy,liz 37,3 weeks ago,1511739747037,I just want to know why the masseur was in a towel...I know massage therapists and they always use uniforms for work,0,/Negative/,Negative,0.596
UgyO9a6SsjQitYG6MPV4AaABAg,Jackie Santangelo,3 weeks ago,1511739746521,"Everyone knows Travolta and Cruise are gay - who cares? It's sad they refuse to be what their nature dictates. Cruise gay or straight no matter - ass hole either way. Scientology keeps them because of the ""auditing"" material they have on file...",5,true,2,,,,,,,/Negative/,Negative,0.969
